Time,Fz,Mx,My,CoPx,CoPy
0.000000,873.160159,26.070526,1.416550,-0.001622,0.029858
0.001000,873.160159,26.070526,1.416550,-0.001622,0.029858
0.002000,873.163939,26.110486,1.460960,-0.001673,0.029903
0.003000,873.256809,26.090896,1.439200,-0.001648,0.029878
0.004000,873.256809,26.090896,1.439200,-0.001648,0.029878
0.005000,873.349029,26.071526,1.460780,-0.001673,0.029852
0.006000,873.445679,26.091896,1.483430,-0.001698,0.029872
0.007000,873.349029,26.071526,1.460780,-0.001673,0.029852
0.008000,873.348379,26.071746,1.504120,-0.001722,0.029853
0.009000,873.349809,26.072226,1.549130,-0.001774,0.029853
0.010000,873.442679,26.052636,1.527370,-0.001749,0.029828
0.011000,873.442679,26.052636,1.527370,-0.001749,0.029828
0.012000,873.442679,26.052636,1.527370,-0.001749,0.029828
0.013000,873.534899,26.033266,1.548950,-0.001773,0.029802
0.014000,873.630119,26.053156,1.526590,-0.001747,0.029822
0.015000,873.534899,26.033266,1.548950,-0.001773,0.029802
0.016000,873.534899,26.033266,1.548950,-0.001773,0.029802
0.017000,873.537249,26.072746,1.548350,-0.001773,0.029847
0.018000,873.534899,26.033266,1.548950,-0.001773,0.029802
0.019000,873.723769,26.034266,1.593180,-0.001823,0.029797
0.020000,873.534249,26.033486,1.592290,-0.001823,0.029802
0.021000,873.719339,25.994526,1.592110,-0.001822,0.029752
0.022000,873.719339,25.994526,1.592110,-0.001822,0.029752
0.023000,873.626469,26.014116,1.613870,-0.001847,0.029777
0.024000,873.627119,26.013896,1.570530,-0.001798,0.029777
0.025000,873.627119,26.013896,1.570530,-0.001798,0.029777
0.026000,873.534249,26.033486,1.592290,-0.001823,0.029802
0.027000,873.534249,26.033486,1.592290,-0.001823,0.029802
0.028000,873.534249,26.033486,1.592290,-0.001823,0.029802
0.029000,873.814559,26.014416,1.569750,-0.001796,0.029771
0.030000,873.625039,26.013636,1.568860,-0.001796,0.029777
0.031000,873.622039,25.974376,1.612800,-0.001846,0.029732
0.032000,873.532819,26.033006,1.547280,-0.001771,0.029802
0.033000,873.622689,25.974156,1.569460,-0.001796,0.029732
0.034000,873.626469,26.014116,1.613870,-0.001847,0.029777
0.035000,873.814559,26.014416,1.569750,-0.001796,0.029771
0.036000,873.813909,26.014636,1.613090,-0.001846,0.029771
0.037000,873.721689,26.034006,1.591510,-0.001822,0.029797
0.038000,873.814559,26.014416,1.569750,-0.001796,0.029771
0.039000,873.906779,25.995046,1.591330,-0.001821,0.029746
0.040000,873.910559,26.035006,1.635740,-0.001872,0.029791
0.041000,873.816909,26.053896,1.569150,-0.001796,0.029816
0.042000,873.915909,26.113746,1.591200,-0.001821,0.029881
0.043000,873.820689,26.093856,1.613560,-0.001847,0.029862
0.044000,873.820689,26.093856,1.613560,-0.001847,0.029862
0.045000,874.105429,26.114526,1.592090,-0.001821,0.029876
0.046000,874.292869,26.115046,1.591310,-0.001820,0.029870
